City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,mercedes,-34.6515,-59.4307,17.14,80,0,3.37,AR,1699234286
152,naze,28.3667,129.4833,26.51,71,34,4.81,JP,1699234431
153,howard springs,-12.497,131.047,29.9,78,100,1.25,AU,1699234431
154,st. john's,47.5649,-52.7093,10.66,97,100,5.66,CA,1699234415
155,rongelap,11.1635,166.8941,27.99,77,93,8.97,MH,1699234379
156,wasagu,11.3764,5.7954,23.99,35,1,2.29,NG,1699234432
157,sinabang,2.4803,96.3801,26.84,82,100,0.2,ID,1699234432
158,corner brook,48.9667,-57.9484,3.09,94,100,2.59,CA,1699234195
159,port lincoln,-34.7333,135.8667,18.95,60,2,4.93,AU,1699234333
160,geraldton,-28.7667,114.6,22.23,60,100,3.09,AU,1699234288
161,cherdyn',60.403,56.4787,-1.47,85,100,4.14,RU,1699234433
162,shangzhi,45.2167,127.9667,-5.92,94,100,12.17,CN,1699234433
163,olonkinbyen,70.9221,-8.7187,-1.55,69,100,10.56,SJ,1699234329
164,talnakh,69.4865,88.3972,-11.45,95,100,3.25,RU,1699234332
165,klyuchi,52.2667,79.1667,-4.66,95,13,1.9,RU,1699234326
166,alto barinas,8.5931,-70.2261,24.25,89,97,1.69,VE,1699234434
167,hamilton,39.1834,-84.5333,12.1,66,0,0.89,US,1699234326
168,coaticook,45.1334,-71.7991,2.87,88,99,0.57,CA,1699234434
169,northam,51.0333,-4.2167,11.48,89,92,6.83,GB,1699234434
170,broome,42.2506,-75.833,4.45,74,0,3.6,US,1699234355
171,la'ie,21.6477,-157.9253,30.98,66,0,4.47,US,1699234371
172,sao miguel do araguaia,-13.275,-50.1628,27.15,62,35,1.97,BR,1699234435
173,linkou,45.3,130.2833,-4.67,95,100,5.69,CN,1699234435
174,zheleznogorsk-ilimskiy,56.5768,104.1217,-5.91,87,100,2.68,RU,1699234344
175,iskushuban,10.2837,50.23,23.83,85,100,3.83,SO,1699234436
176,bouarfa,32.53,-1.95,15.41,29,18,0.99,MA,1699234436
177,georgetown,5.4112,100.3354,29.41,84,20,1.54,MY,1699234328
178,zyryanovsk,49.7386,84.2719,-11.0,94,21,0.41,KZ,1699234436
179,kamyshevatskaya,46.4132,37.9563,13.27,89,100,5.19,RU,1699234436
180,ulladulla,-35.35,150.4667,19.2,58,64,6.0,AU,1699234437
181,carnarvon,-24.8667,113.6333,24.6,64,100,5.93,AU,1699234318
182,port elizabeth,-33.918,25.5701,16.29,87,0,1.03,ZA,1699234330
